Role ID,Role,Side,Domain,What They Do,Surface,Layer,Phase,Base Clearance (Tier),Tier Name,Capabilities (effective),Custom Capabilities / Denies,Data Scope Restriction,PII / PHI Access,Dual Control,Clinical Gate Relation
PL-001-ADM,Global Super Admin,Company,ADMIN,Root. Every action logged. Even root cannot publish a recipe that has not cleared the Clinical Review Gate.,Layer 1 Super Admin Control Plane,L1,MVP,T0,Root Authority,* (all zones),household:delete:any | iam:dual_control_root | config:global,global,"Governed (full, dual-control)",Yes,cannot_bypass_clinical_gate
PL-002-ADM,Super Admin Manager,Company,ADMIN,Manages Super Admin staff & scopes. Cannot self-escalate to root; root settings hidden.,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,iam:invite | iam:grant_role | iam:revoke_role | iam:manage_scope | audit:read_global | report:read_operational | monitor:system_health | view,iam:admin_personnel_manage | DENY:billing:manage | DENY:config:global,zone:admin-personnel,None (internal identity only),Yes (scope grants),n/a
PL-003-ADM,Product Admin,Company,ADMIN / PRODUCT,Product/feature config only. Staged changes require approval before publish.,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,config:product | config:feature_flag | config:schema_defaults | audit:read_scoped | report:read_operational | view,config:household_onboarding_defaults | DENY:clinical_controls | DENY:commerce_controls,zone:product-config,None,No,n/a
PL-004-ADM,Clinical Review Admin,Company,ADMIN / CLINICAL,Governs the gate (config + reviewer assignment). Cannot itself approve a recipe — separation of duties.,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,recipe:clinical_gate_configure | recipe:clinical_gate_assign | iam:manage_scope:reviewers | monitor:queue | audit:read_scoped | report:read_operational | view,gate:rule_configure | reviewer:assign,zone:clinical-review,De-identified review context,No,governs_gate
PL-005-ADM,Recipe Library Admin,Company,ADMIN / FOOD,Accepts gate-cleared recipes into Master Library. Public publishing toggle is blocked (split from Publishing Admin).,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,library:accept | library:tag | library:lineage_manage | library:quality_review | audit:read_scoped | view,DENY:publish:public,zone:master-library,None (recipe records),No,downstream_of_gate
PL-006-ADM,Taxonomy Admin,Company,ADMIN / FOOD,"Owns global categories, tags, Smart Filtering rules.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,taxonomy:edit | taxonomy:smartfilter | search:index_manage:config | audit:read_scoped | view,,zone:taxonomy,None,No,n/a
PL-007-ADM,Publishing Admin,Company,ADMIN / FOOD,"Controls public ship. SoD: must NOT also hold Recipe Library Admin. Can only publish gate-cleared, library-accepted records.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,publish:public | publish:hold | publish:retract | publish:schedule | audit:read_scoped | view,publish:schedule,zone:publishing,None,No,downstream_of_gate
PL-008-ADM,Commerce and Affiliate Admin,Company,ADMIN,"Retailer routing, product catalog links, affiliate tracking.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,commerce:configure | retailer:route_configure | product_catalog:manage | affiliate:manage | audit:read_scoped | view,,zone:commerce,None,No,n/a
PL-009-ADM,Compliance Admin,Company,ADMIN / COMPLIANCE,Owns compliance boundary + retention. Changes are dual-control and logged.,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,compliance:configure | compliance:boundary_manage | retention:configure | privacy:review | audit:read_global | view,compliance:boundary_manage | retention:configure,zone:compliance,"Governed (policy, not row-level PHI)",Yes (boundary/retention),n/a
PL-010-ADM,Model Ops Admin,Company,ADMIN / ENGINEERING,Runs Care Team Model Route Registry & ChairwomanAI config. Separate API-key boundaries per specialist route.,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,model:route_configure | model:run_monitor | model:key_manage | monitor:system_health | audit:read_scoped | view,model:key_manage,zone:model-ops,None (no PHI in route registry),Yes (key management),n/a
PL-011-ADM,Support Admin,Company,ADMIN / SUPPORT,"Owns support tooling, escalation paths, support staff access.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,support:ticket_manage | support:account_state | support:escalate | iam:manage_scope:support | audit:read_scoped | view,,zone:support,"Scoped (least-necessary, consent/ticket-bound, time-boxed)",No,n/a
PL-012-ADM,Reporting Admin,Company,ADMIN / DATA,"Builds & governs admin reporting across tenants, recipes, ops.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,report:build | report:read_operational | report:read_aggregate | data:catalog_manage:read | audit:read_scoped | view,,zone:reporting,Aggregate / de-identified,No,n/a
PL-013-ADM,System Health Admin,Company,ADMIN / ENGINEERING,"Uptime, incident response across layers.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,monitor:system_health | monitor:incident | model:run_monitor:read | audit:read_scoped | view,,zone:system-health,None,No,n/a
PL-014-ADM,Audit Admin,Company,ADMIN / COMPLIANCE,"Owns global audit log. Append-only: can configure & export, CANNOT edit or delete entries.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,audit:read_global | audit:configure | audit:export | retention:configure:audit | view,audit:configure | DENY:audit:mutate,zone:audit,Metadata (audit records),Yes,n/a
PL-015-ADM,Review Queue Admin,Company,ADMIN,Balances every review queue so nothing stalls.,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,queue:configure | queue:balance | assign | monitor:queue | audit:read_scoped | view,,zone:review-queues,None,No,n/a
PL-016-PRD,Product Owner,Company,PRODUCT,Owns product vision & final product decisions. Cannot grant access or touch PHI.,Internal Product Workspace,L1/L2,MVP,T2,Manager / Approver,config:product:propose | report:read_operational | assign | approve:work | comment | view,roadmap:decide,internal-noPHI,None,No,n/a
PL-017-PRD,Product Manager,Company,PRODUCT,"Turns journeys into specs, runs delivery.",Internal Product Workspace,L1/L2,MVP,T2,Manager / Approver,create | edit | assign | comment | report:read_operational | view,,internal-noPHI,None,No,n/a
PL-018-PRD,Product Designer,Company,PRODUCT / DESIGN,End-to-end flows.,Internal Design Workspace,L2/L3,MVP,T4,Contributor,content:create_draft | edit | comment | view,,internal-deid,De-identified (consented research only),No,n/a
PL-019-PRD,UX Designer,Company,PRODUCT / DESIGN,"Owns flows, states, interaction logic.",Internal Design Workspace,L2/L3,MVP,T4,Contributor,content:create_draft | edit | comment | view,,internal-deid,De-identified,No,n/a
PL-020-PRD,UI Designer,Company,PRODUCT / DESIGN,Visual craft + component library.,Internal Design Workspace,L2/L3,MVP,T4,Contributor,content:create_draft | content:layout:components | edit | comment | view,,internal-noPHI,None,No,n/a
PL-021-PRD,UX Researcher,Company,PRODUCT / RESEARCH,Studies real caregivers. Raw PHI never enters research store.,Internal Research Workspace,L2,MVP,T4,Contributor,data:analyze:research | content:create_draft | comment | view,research:recruit,internal-deid,De-identified (consented research data only),No,n/a
PL-022-PRD,Product Marketing Manager,Company,PRODUCT / MARKETING,Health claims CANNOT self-publish — must clear Claims Reviewer + Medical Editor.,Internal Marketing Workspace,L3,MVP,T4,Contributor,content:create_draft | content:edit | publish:marketing:non_recipe | comment | view,claims:submit_for_review,internal-noPHI,None,No,n/a
PL-023-SUP,Customer Support Lead,Company,SUPPORT,Front-line support lead. PHI access is just-in-time and logged.,Internal Support Workspace,L2/L3,MVP,T2,Manager / Approver,support:ticket_manage | support:account_state | support:escalate | assign | report:read_operational | audit:read_scoped | view,,support-context,"Scoped (least-necessary, time-boxed, consent-bound)",No,n/a
PL-024-SUP,Caregiver Success Lead,Company,SUPPORT,Reduces caregiver drop-off after setup.,Internal Support Workspace,L2/L3,MVP,T2,Manager / Approver,success:outreach | support:ticket_manage:read | report:read_aggregate | view,,support-context,Scoped / aggregate (consented),No,n/a
PL-025-ENG,Engineering Lead,Company,ENGINEERING,Leads delivery & technical health. No standing prod PHI.,Internal Engineering Workspace,L1/L2,MVP,T2,Manager / Approver,deploy:approve | config:infra | assign | grant:team:repo_env | monitor:system_health | audit:read_scoped | view,breakglass:request,internal-noPHI + infra,None (prod PHI = break-glass dual-control),Yes (prod deploy),n/a
PL-026-ENG,Tech Lead,Company,ENGINEERING,Squad technical direction.,Internal Engineering Workspace,L2,MVP,T2,Manager / Approver,deploy:approve:squad | code:merge_approve | assign | monitor | view,,internal-noPHI,None,No,n/a
PL-027-ENG,Front-End Engineer,Company,ENGINEERING,Web surfaces caregivers touch.,Internal Engineering Workspace,L3,MVP,T4,Contributor,code:write | code:pr | deploy:request | view,,internal-noPHI + staging,None (no prod PHI),No,n/a
PL-028-ENG,Back-End Engineer,Company,ENGINEERING,Builds tenant boundaries & permission enforcement. No standing prod PHI access.,Internal Engineering Workspace,L2,MVP,T4,Contributor,code:write | code:pr | deploy:request | service:config:non_prod | view,permission_engine:implement,internal-noPHI + staging,None (break-glass only),No,n/a
PL-029-ENG,Full-Stack Developer,Company,ENGINEERING,API-to-screen features.,Internal Engineering Workspace,L2/L3,MVP,T4,Contributor,code:write | code:pr | deploy:request | service:config:non_prod | view,,internal-noPHI + staging,None,No,n/a
PL-030-ENG,Mobile Engineer,Company,ENGINEERING,One-handed kitchen mobile app.,Internal Engineering Workspace,L3,MVP,T4,Contributor,code:write | code:pr | deploy:request | view,,internal-noPHI + staging,None,No,n/a
PL-031-ENG,Data Engineer,Company,ENGINEERING / DATA,Moves events/logs/catalogs into usable data. Works on tokenized data.,Internal Data Workspace,L2,MVP,T4,Contributor,data:pipeline_manage | data:catalog_manage | data:export_deid | view,pii:tokenize_manage,internal-deid,De-identified / tokenized (raw PHI tokenized at ingest),No,n/a
PL-032-ENG,Search Engineer,Company,ENGINEERING,"Recipe search, filters, OpenSearch feedback loop.",Internal Engineering Workspace,L2,MVP,T4,Contributor,search:index_manage | feedback:loop_manage | code:write | view,,internal-noPHI,None,No,n/a
PL-033-ENG,AI / Model Routing Engineer,Company,ENGINEERING / AI,Builds Care Team routing + ChairwomanAI synthesis. Cannot weaken or bypass the Clinical Review Gate downstream.,Internal Engineering Workspace,L2,MVP,T4,Contributor,model:route_configure:build | ai:chairwoman_config:build | model:run_monitor | code:write | view,model:eval_run,internal-noPHI + model-sandbox,None (tests use de-identified care context),No,cannot_weaken_gate
PL-034-ENG,Security Engineer,Company,ENGINEERING / SECURITY,"Authors security policy, approves break-glass. Separation: approves access, does not grant business roles.",Internal Engineering Workspace,L1/L2,MVP,T2,Manager / Approver,security:scan | security:policy_author | iam:review | breakglass:approve | keys:rotate | audit:read_global:read | view,breakglass:approve | keys:rotate,internal + security,Metadata,"Yes (break-glass, key rotation)",n/a
PL-035-ENG,DevOps Engineer,Company,ENGINEERING,Infra + deploy. Prod deploy requires second approver.,Internal Engineering Workspace,L2,MVP,T4,Contributor,infra:provision | deploy:execute | monitor:system_health | secrets:manage:scoped | view,,infra,None,Yes (prod deploy),n/a
PL-036-QA,QA Lead,Company,QA,Owns test strategy & release sign-off (functional).,Internal QA Workspace,L2/L3,MVP,T2,Manager / Approver,qa:plan | qa:signoff | assign | qc:review | report:read_operational | view,,internal-noPHI + test-data,Synthetic / de-identified only,No,n/a
PL-037-QA,QA Tester,Company,QA,Executes test cases.,Internal QA Workspace,L3,MVP,T4,Contributor,qa:test | issue:report | view,,test-data,Synthetic only,No,n/a
PL-038-QA,QC Reviewer,Company,QA,Quality-control gate on content & output.,Internal QA Workspace,L3,MVP,T4,Contributor,qc:review | qa:signoff:content | reject:work | view,,test-data + content,Synthetic,No,n/a
PL-039-DAT,Data Analyst,Company,DATA,Operational analysis.,Internal Data Workspace,L2,MVP,T4,Contributor,data:analyze | report:build | report:read_aggregate | view,,internal-deid,De-identified / aggregate,No,n/a
PL-040-DAT,Data Scientist,Company,DATA,Models & features.,Internal Data Workspace,L2,MVP,T4,Contributor,data:analyze | data:model_train | data:export_deid | view,model:feature_build,internal-deid,De-identified,No,n/a
PL-041-DAT,Analytics Engineer,Company,DATA,Analytics pipelines & marts.,Internal Data Workspace,L2,MVP,T4,Contributor,data:pipeline_manage | data:catalog_manage | report:build | view,,internal-deid,De-identified,No,n/a
PL-042-DAT,Reporting Analyst,Company,DATA,Builds operational reports.,Internal Data Workspace,L2,MVP,T4,Contributor,report:build | report:read_aggregate | report:read_operational | view,,internal-deid,Aggregate,No,n/a
PL-043-DAT,Taxonomy Data Manager,Company,DATA / FOOD,Curates taxonomy data.,Internal Data Workspace,L2,MVP,T4,Contributor,taxonomy:edit:data | data:catalog_manage | view,,catalog:taxonomy,None,No,n/a
PL-044-DAT,Nutrition Data Manager,Company,DATA / CLINICAL,Curates Nutrition / USDA FDC / RxNorm / ICD-10 catalogs.,Internal Data Workspace,L2,MVP,T4,Contributor,data:catalog_manage:nutrition | view,catalog:nutrition_manage,catalog:nutrition,None,No,n/a
PL-045-FOOD,Editor in Chief,Company,FOOD / EDITORIAL,Owns voice & final editorial sign-off. Editorial sign-off is NOT the clinical gate; health claims still need Medical/Clinical Editor + gate.,Internal Editorial Workspace,L2/L3,MVP,T2,Manager / Approver,content:edit | publish:editorial_signoff | approve:work | reject:work | assign | view,editorial:final_signoff,editorial,None,No,downstream_of_gate
PL-046-FOOD,Managing Editor,Company,FOOD / EDITORIAL,Runs pipeline & deadlines.,Internal Editorial Workspace,L2,MVP,T2,Manager / Approver,content:edit | content:produce | assign | report:read_operational | view,,editorial,None,No,n/a
PL-047-FOOD,Creative Director,Company,FOOD / EDITORIAL,Owns visual identity.,Internal Editorial Workspace,L2,MVP,T2,Manager / Approver,content:layout:direction | approve:visual | assign | view,,editorial,None,No,n/a
PL-048-FOOD,Layout Artist,Company,FOOD / EDITORIAL,Screen + print layout.,Internal Editorial Workspace,L3,MVP,T4,Contributor,content:layout | content:produce | view,,editorial,None,No,n/a
PL-049-FOOD,Engagement Writer,Company,FOOD / EDITORIAL,"Product copy, articles, newsletters.",Internal Editorial Workspace,L3,MVP,T4,Contributor,content:create_draft | content:edit | view,claims:submit_for_review,editorial,None,No,n/a
PL-050-FOOD,Recipe Editor,Company,FOOD / EDITORIAL,Edits recipes so they cook correctly. Cannot approve the clinical gate.,Internal Editorial Workspace,L2/L3,MVP,T4,Contributor,recipe:edit_content | recipe:normalize_review | content:edit | view,recipe:cookability_verify,editorial + recipe,None,No,cannot_approve_gate
PL-051-FOOD,Food Writer,Company,FOOD / EDITORIAL,"Food stories, headnotes.",Internal Editorial Workspace,L3,MVP,T4,Contributor,content:create_draft | content:edit | view,,editorial,None,No,n/a
PL-052-MED,Medical Writer,Company,MEDICAL / EDITORIAL,Plain-language medical education. Must clear Medical Editor verify before ship.,Internal Editorial Workspace,L3,MVP,T4,Contributor,medical_content:write | content:create_draft | view,claims:submit_for_review,editorial + medical,None,No,content_precedes_gate
PL-053-CLIN,Clinical Writer,Company,CLINICAL / EDITORIAL,Hard-rule explanations & caregiver caveats. Drafts verified by Clinical Editor.,Internal Editorial Workspace,L3,MVP,T4,Contributor,clinical_content:write | content:create_draft | view:review-context,hardrule:explain_draft,editorial + clinical-deid,De-identified,No,content_precedes_gate
PL-054-MED,Medical Editor,Company,MEDICAL / EDITORIAL,Verifies medical accuracy before ship. Medical-content gate.,Internal Editorial Workspace,L3,MVP,T3,Reviewer / Gatekeeper,medical_content:edit_verify | approve:medical_accuracy | reject:work | view,gate:medical_signoff,medical,None,No,approves_at:medical
PL-055-CLIN,Clinical Editor,Company,CLINICAL / EDITORIAL,Verifies copy matches care rules. Clinical-copy gate.,Internal Editorial Workspace,L3,MVP,T3,Reviewer / Gatekeeper,clinical_content:edit_verify | approve:clinical_copy | reject:work | view:review-context,gate:clinical_copy_signoff,clinical-deid,De-identified,No,approves_at:clinical_copy
PL-056-FOOD,Freelance Recipe Developer,Company,FOOD,"Original recipes on contract. Isolated sandbox, time-boxed, watermarked, NDA-bound.",Internal Editorial Workspace (Contractor),L3,MVP,TC,Contractor (Sandboxed),recipe:create_draft | content:create_draft:sandbox | asset:upload | view:assignment,nda:bound | access:time_boxed | watermark:on,contractor-sandbox,None,No,submits_to
PL-057-FOOD,Freelance Food Photographer,Company,FOOD,Recipe photos to brand standard. Sandbox + watermark + expiry.,Internal Editorial Workspace (Contractor),L3,MVP,TC,Contractor (Sandboxed),asset:photo | asset:upload | view:assignment,nda:bound | access:time_boxed | watermark:on,contractor-sandbox,None,No,n/a
PL-058-FOOD,Content Producer,Company,FOOD / EDITORIAL,Assembles ship-ready content.,Internal Editorial Workspace,L3,MVP,T4,Contributor,content:produce | content:layout | asset:assemble | view,,editorial,None,No,n/a
PL-059-CLIN,Clinician Reviewer,Company,CLINICAL,"THE Clinical Review Gate. Mandatory before any recipe ships, copies, or publishes. Sees de-identified context only.",Internal Clinical Review Workspace,L2,MVP,T3,Reviewer / Gatekeeper,recipe:clinical_gate_approve | recipe:clinical_gate_reject | comment | view:review-context,gate:approve,review-context,De-identified care profile + recipe,Yes (high-risk recipes),approves_at:clinical
PL-060-CLIN,Clinical Nutritionist,Company,CLINICAL,Nutrition-scope gate approval (sodium/K/P/protein/fluid/texture).,Internal Clinical Review Workspace,L2,MVP,T3,Reviewer / Gatekeeper,recipe:clinical_gate_approve | recipe:clinical_gate_reject | comment | view:review-context,gate:approve:nutrition,review-context,De-identified,No,approves_at:clinical
PL-061-CLIN,Registered Dietitian Nutritionist,Company,CLINICAL,Medical nutrition therapy review at the gate.,Internal Clinical Review Workspace,L2,MVP,T3,Reviewer / Gatekeeper,recipe:clinical_gate_approve | recipe:clinical_gate_reject | comment | view:review-context,gate:approve:mnt,review-context,De-identified,No,approves_at:clinical
PL-062-CLIN,Pharmacist Reviewer,Company,CLINICAL,Drug–nutrient & medication-timing review at the gate.,Internal Clinical Review Workspace,L2,MVP,T3,Reviewer / Gatekeeper,recipe:clinical_gate_approve:drug_nutrient | medication:interaction_review | reject:gate | comment | view:review-context,gate:drug_nutrient_review,review-context,De-identified,No,approves_at:clinical
PL-063-LEG,Legal Reviewer,Company,LEGAL,"Legal sign-off on claims, terms, content.",Internal Legal Workspace,L1/L2,MVP,T3,Reviewer / Gatekeeper,legal:review | approve:legal | reject:work | view,gate:legal_signoff,internal + legal,Scoped (matter-bound),No,approves_at:legal
PL-064-CMP,Regulatory Compliance Reviewer,Company,COMPLIANCE,Regulatory posture & approvals.,Internal Compliance Workspace,L1/L2,MVP,T3,Reviewer / Gatekeeper,compliance:review | approve:regulatory | reject:work | view,,compliance,Scoped,No,approves_at:regulatory
PL-065-CMP,Privacy Reviewer,Company,COMPLIANCE / PRIVACY,Privacy review + data-subject requests.,Internal Compliance Workspace,L1/L2,MVP,T3,Reviewer / Gatekeeper,privacy:review | privacy:dsr_process | approve:privacy | audit:read_scoped | view,dsr:process,privacy,Governed (DSR handling),No,approves_at:privacy
PL-066-CMP,Claims Reviewer,Company,COMPLIANCE,Gate for marketing & health claims. Nothing with a health claim ships without this.,Internal Compliance Workspace,L1/L2,MVP,T3,Reviewer / Gatekeeper,claims:review | approve:claims | reject:work | view,,claims,None,No,approves_at:claims
PL-067-CMP,Safety Reviewer,Company,COMPLIANCE / SAFETY,Safety sign-off & escalation to root.,Internal Compliance Workspace,L1/L2,MVP,T3,Reviewer / Gatekeeper,safety:review | safety:escalate | approve:safety | reject:work | audit:read_scoped | view,gate:safety_signoff | escalate:root,safety,Scoped,No,approves_at:safety
PL-068-HH,Household,Customer,HOUSEHOLD,"The master tenant boundary. Every person, recipe copy, plan, log, note, permission & audit record belongs to one Household.",Private Household App,L3,MVP,TEN,Tenant Boundary (object),"n/a (tenant boundary object, not a login principal)",,tenant:self,Container for all tenant PHI,n/a,scopes_gate
PL-069-HH,Owner,Customer,HOUSEHOLD,Full governance of one Household incl. billing & deletion. Cannot bypass the gate; generated recipes route to clinical review.,Private Household App,L3,MVP,T5,Tenant Owner,iam:invite | iam:grant_role:household | iam:revoke_role | billing:manage | household:delete | household:settings | care_profile:create | care_profile:edit | hard_rule:edit | medication:edit | diagnosis:edit | recipe:generate | recipe:edit_flavor | recipe:edit_content | recipe:version_manage | copy:recipe | print:recipe | favorite:recipe | planner:manage | dayplan:execute | shopping:manage | commerce:order | hydration:log | food_acceptance:write | note:write | issue:report | delegation:manage | taxonomy:edit:household | export:tenant | audit:read_scoped:household | recipe:delete | owner_transfer | clinical_status:acknowledge | cms_key:manage | view,billing:owner_of_record | household:delete,tenant:self,Full (own household),Yes (household:delete = confirm + restore window),submits_to
PL-070-HH,Co-Owner,Customer,HOUSEHOLD,Full care & content admin. Read-only billing. Household deletion stays Owner-level.,Private Household App,L3,MVP,T6,Tenant Co-Admin,iam:invite | iam:grant_role:household | care_profile:create | care_profile:edit | hard_rule:edit | medication:edit | diagnosis:edit | recipe:generate | recipe:edit_flavor | recipe:edit_content | recipe:version_manage | copy:recipe | print:recipe | favorite:recipe | planner:manage | dayplan:execute | shopping:manage | commerce:order | hydration:log | food_acceptance:write | note:write | issue:report | delegation:manage | taxonomy:edit:household | export:tenant | billing:view | recipe:delete | clinical_status:acknowledge | cms_key:manage | view,DENY:billing:manage | DENY:household:delete | DENY:owner_transfer,tenant:self,Full (own household),No,submits_to
